Brand,Price,Original Price,Discount,Rating,Reviews,Product Link,Image URL
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.8,8598,https://www.lenskart.com/lenskart-air-la-e13033-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/black-full-rim-square-lenskart-air-fusion-la-e13069-c1-eyeglasses_lenskart-air-la-e13033-c1-eyeglasses_eyeglasses_g_7876_2a_28july23.jpg
John Jacobs,₹3300,₹ 3900,(15% OFF),4.9,1771,https://www.lenskart.com/john-jacobs-jj-e16116-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/john-jacobs-jj-e16116-c2-eyeglasses_g_8778_19_10_2023.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.9,936,https://www.lenskart.com/vincent-chase-vc-e17135-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e17135-c1-eyeglasses__dsc5594_03_06_2024.jpg
John Jacobs,₹3300,₹ 3900,(15% OFF),4.8,1689,https://www.lenskart.com/john-jacobs-jj-e13343-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/o/john-jacobs-jj-e13343-c2-eyeglasses_john-jacobs-jj-e13343-c2-eyeglasses_g_5787.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.8,4992,https://www.lenskart.com/lenskart-air-la-e14573-c3-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/grey-transparent-gray-full-rim-rectangle-lenskart-air-signia-la-e14573-c3-eyeglasses_g_2478_09-july.jpg
John Jacobs,₹3300,₹ 3900,(15% OFF),4.9,1537,https://www.lenskart.com/john-jacobs-jj-e14409-c6-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/pink-gold-pink-full-rim-cat-eye-john-jacobs-tr-flex-jj-e-14409-c6-eyeglasses__dsc5657.jpg
Vincent Chase,₹1400,₹ 1900,(26% OFF),4.9,3462,https://www.lenskart.com/vincent-chase-vc-e15069-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/copper-brown-full-rim-round-vincent-chase-sleek-steel-vc-e15069-c2-eyeglasses_g_3676_10_14_22.jpg
John Jacobs,₹3300,₹ 3900,(15% OFF),4.8,2031,https://www.lenskart.com/john-jacobs-rimless-jj-e12610-c3-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/o/john-jacobs-rimless-jj-e12565-c3-eyeglasses_john-jacobs-rimless-jj-e12565-c3-eyeglasses_g_3254.jpg
Lenskart Air,₹1400,₹ 1900,(26% OFF),4.8,1250,https://www.lenskart.com/lenskart-air-la-e17022-c2-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/silver-transparent-full-rim-square-lenskart-air-fusion-la-e17022-c2-eyeglasses__dsc4890_28_05_2024_28_05_2024.jpg
John Jacobs,₹4300,₹ 4900,(12% OFF),4.9,262,https://www.lenskart.com/john-jacobs-jj-e70077-c1-eyeglasses.html,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/rose-gold-half-rim-cat-eye-john-jacobs-supreme-steel-jj-e70077-c1-eyeglasses__dsc7255_18_10_2024.jpg
