Product Link,Brand Name,Product Type,Model No.,Frame Size,Frame Width,Frame Dimensions,Frame colour,Weight,Weight Group,Material,Frame Material,Temple Material,Prescription Type,Frame Style,Frame Style Secondary,Collection,Product Warranty,Gender,Height,Condition,Temple Colour,Country of Origin,Manufacturer Details,,Suited For,Glass Color,Lens Technology,Lens Material,Power
https://www.lenskart.com/lenskart-hustlr-lb-e14058-xw-c54-eyeglasses.html,Lenskart Hustlr Screen Glasses,Zero Power Screen Glasses,LB E14058-XW,"Extra Wide
?",144 mm,52-20-150,Amethyst,"21 gm
?","Average
?",TR90,"TR90
?","TR90
?",No Power,Light-Weight,Light-Weight,Others,"1 Year Manufacturer Warranty
?",Unisex,42 mm,New,Amethyst,,,,,,,,
https://www.lenskart.com/lenskart-hustlr-lb-e14058-c23-eyeglasses.html,Lenskart Hustlr Screen Glasses,Zero Power Screen Glasses,LB E14058-W,"Medium
?",139 mm,50-20-145,Dark Night,"20 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",,Standard,Standard,Others,"1 Year Manufacturer Warranty
?",Unisex,43 mm,New,Dark Night,India,,,,,,,
https://www.lenskart.com/lenskart-hustlr-lb-e14058-H-c39-eyeglasses.html,Lenskart Hustlr Screen Glasses,Zero Power Screen Glasses,LB E14058-W,"Medium
?",139 mm,49-21-150,GreyStone,"22 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",,Light-Weight,Light-Weight,Others,"1 Year Manufacturer Warranty
?",Unisex,42 mm,New,GreyStone,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e18341-silver -eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E18341,"Extra Wide
?",144 mm,56-17-145,Gold,"21 gm
?",,Stainless Steel,"Stainless Steel
?","Stainless Steel
?",No Power,,,,,Unisex,42 mm,New,Gold,,,,,,,,
https://www.lenskart.com/vincent-chase-vc-e13526-c1-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E13526,"Medium
?",135 mm,51-17-135,Black,"15 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Standard,Light-Weight,Others,"1 Year Manufacturer Warranty
?",Unisex,40 mm,New,,India,Baofeng Framekart Technology Limited,,,,,,
https://www.lenskart.com/vincent-chase-vc-e13526-c3-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E13526,"Medium
?",135 mm,51-17-135,Matte Grey,"15 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Standard,Light-Weight,Others,"1 Year Manufacturer Warranty
?",Unisex,40 mm,New,Matte Grey,India,Baofeng Framekart Technology Limited,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e18341-mattblack-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E18341,"Extra Wide
?",144 mm,56-17-145,Black,"21 gm
?",,Stainless Steel,"Stainless Steel
?","Stainless Steel
?",No Power,,,,,Unisex,42 mm,New,Black,,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e13737-c2-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E13737,"Wide
?",140 mm,53-17-142,Navy Blue,"18 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Colorful,Colorful,Others,"1 Year Manufacturer Warranty
?",Unisex,38 mm,New,Navy Blue,India,,,,,,,
https://www.lenskart.com/lenskart-hustlr-lb-e14058-c34-eyeglasses.html,Lenskart Hustlr Screen Glasses,Zero Power Screen Glasses,LB E14058-W,"Medium
?",139 mm,49-21-150,Navy,"22 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",,Light-Weight,Light-Weight,Others,"1 Year Manufacturer Warranty
?",Unisex,42 mm,New,Navy,India,,,,,,,
https://www.lenskart.com/blue-block-phone-computer-glasses-blue-transparent-full-rim-round-lenskart-blu-lb-e14061-c1.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E14061,"Extra Wide
?",142 mm,52-20-142,Gray Transparent,"18 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Colorful,Youth,Others,"1 Year Manufacturer Warranty
?",Unisex,44 mm,New,Blue Transparent,India,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e16223-c1-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E16223,"Extra Narrow
?",128 mm,50-13-140,Black,"22 gm
?","Average
?",TR90,"TR90
?","TR90
?",No Power,Colorful,Colorful,Others,"1 Year Manufacturer Warranty
?",Unisex,36 mm,New,Light Gray,China,,,,,,,
https://www.lenskart.com/lenskart-lb-e14058-w-c47-eyeglasses.html,Lenskart Hustlr Screen Glasses,Zero Power Screen Glasses,LB E14058-W,"Medium
?",139 mm,50-20-150,Ocean Blue,"19 gm
?","Light
?",TR90,"TR90
?","TR90
?",No Power,Light-Weight,Light-Weight,Others,"1 Year Manufacturer Warranty
?",Unisex,43 mm,New,Ocean Blue,India,,,,,,,
https://www.lenskart.com/lenskart-hustlr-screen-glasses-lb-e14058-w-frost-eyeglasses.html,Lenskart Hustlr Screen Glasses,Zero Power Screen Glasses,LB E14058-W,"Medium
?",139 mm,50-20-150,Frost,"18 gm
?",,TR90,"Non-Metal
?","TR90
?",No Power,,,,"1 Year Manufacturer Warranty
?",Unisex,43 mm,New,Frost,,,,,,,,
https://www.lenskart.com/lenskart-blu-lb-e13740-c1-eyeglasses.html,Lenskart BLU Screen Glasses,Zero Power Screen Glasses,LB E13740,"Wide
?",139 mm,52-17-142,Black,"17 gm
?","Light
?",TR90 (Flexible Light-Weight),"TR90
?","TR90
?",No Power,Standard,Standard,Others,"1 Year Manufacturer Warranty
?",Unisex,43 mm,New,,India,,,,,,,
